modelo,window,transform,exog,n_exog,use_tda,estrategia,fold,mae,rmse,mape,r2,__label__
ElasticNet,36,seasonal_diff,ppi_fertilizers+diesel_price,2,True,winsorize,1,29.63667330586492,36.43202292281869,23.36610192352333,0.0607151245988355,ElasticNet|w36|seasonal_diff|ppi_+dies|tda|winsorize
ElasticNet,36,seasonal_diff,ppi_fertilizers+diesel_price,2,True,winsorize,2,49.078347883796205,56.30830026297325,39.25162653715081,-0.958247966448545,ElasticNet|w36|seasonal_diff|ppi_+dies|tda|winsorize
ElasticNet,36,seasonal_diff,ppi_fertilizers+diesel_price,2,True,winsorize,3,38.287034572602536,51.7795637801736,26.31976893530858,-0.8576321542827479,ElasticNet|w36|seasonal_diff|ppi_+dies|tda|winsorize
ElasticNet,36,seasonal_diff,ppi_fertilizers+diesel_price,2,True,exclude,1,29.63667330586492,36.43202292281869,23.36610192352333,0.0607151245988355,ElasticNet|w36|seasonal_diff|ppi_+dies|tda|exclude
ElasticNet,36,seasonal_diff,ppi_fertilizers+diesel_price,2,True,exclude,2,49.078347883796205,56.30830026297325,39.25162653715081,-0.958247966448545,ElasticNet|w36|seasonal_diff|ppi_+dies|tda|exclude
ElasticNet,36,seasonal_diff,ppi_fertilizers+diesel_price,2,True,exclude,3,38.287034572602536,51.7795637801736,26.31976893530858,-0.8576321542827479,ElasticNet|w36|seasonal_diff|ppi_+dies|tda|exclude
ElasticNet,36,seasonal_diff,ppi_fertilizers+diesel_price,2,True,isolation,1,30.280634469381155,36.670770697161686,23.856619165673816,0.0483640694262206,ElasticNet|w36|seasonal_diff|ppi_+dies|tda|isolation
ElasticNet,36,seasonal_diff,ppi_fertilizers+diesel_price,2,True,isolation,2,36.161601252487785,45.13891238524636,28.1171618800992,-0.2584183133904303,ElasticNet|w36|seasonal_diff|ppi_+dies|tda|isolation
ElasticNet,36,seasonal_diff,ppi_fertilizers+diesel_price,2,True,isolation,3,39.68335701404125,50.58295393936688,30.697159387164582,-0.7727656185710308,ElasticNet|w36|seasonal_diff|ppi_+dies|tda|isolation
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,none,1,31.090162293658345,38.787252360900496,24.63459036868776,-0.0646547299413471,ElasticNet|w36|seasonal_diff|ppi_+mxn_
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,none,2,42.92110168078096,50.65640266206671,35.5034599794583,-0.5848623167057441,ElasticNet|w36|seasonal_diff|ppi_+mxn_
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,none,3,38.93850431130329,52.35306688546856,26.63877631288032,-0.8990097792287195,ElasticNet|w36|seasonal_diff|ppi_+mxn_
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,dummy,1,31.090162293658345,38.787252360900496,24.63459036868776,-0.0646547299413471,ElasticNet|w36|seasonal_diff|ppi_+mxn_|dummy
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,dummy,2,42.92110168078096,50.65640266206671,35.5034599794583,-0.5848623167057441,ElasticNet|w36|seasonal_diff|ppi_+mxn_|dummy
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,dummy,3,38.93850431130329,52.35306688546856,26.63877631288032,-0.8990097792287195,ElasticNet|w36|seasonal_diff|ppi_+mxn_|dummy
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,winsorize,1,31.090162293658345,38.787252360900496,24.63459036868776,-0.0646547299413471,ElasticNet|w36|seasonal_diff|ppi_+mxn_|winsorize
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,winsorize,2,42.92110168078096,50.65640266206671,35.5034599794583,-0.5848623167057441,ElasticNet|w36|seasonal_diff|ppi_+mxn_|winsorize
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,winsorize,3,38.93850431130329,52.35306688546856,26.63877631288032,-0.8990097792287195,ElasticNet|w36|seasonal_diff|ppi_+mxn_|winsorize
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,exclude,1,31.090162293658345,38.787252360900496,24.63459036868776,-0.0646547299413471,ElasticNet|w36|seasonal_diff|ppi_+mxn_|exclude
